focus_session_length_minutes,break_frequency_per_hour,after_hours_activity_minutes,communication_sentiment_score,department,wellness_label
41.2,1.7,7.3,0.765,product,Healthy
12.3,0.21,94.9,0.151,engineering,Burnout
14.8,0.11,146.7,0.37,engineering,Burnout
56.8,0.95,0,0.933,hr,Healthy
43.0,1.04,18.2,0.792,hr,Healthy
49.0,0.29,47.7,0.709,hr,Stressed
26.2,0.32,123.6,0.322,marketing,Burnout
45.1,0.81,60.9,0.51,engineering,Stressed
10.9,0.4,13.2,0.231,hr,Burnout
0,0.1,133.2,0.243,product,Burnout
38.9,1.18,28.7,0.75,engineering,Healthy
5.9,0.33,121.0,0.322,marketing,Burnout
34.1,0.5,32.1,0.348,marketing,Stressed
46.3,1.01,9.1,0.698,engineering,Healthy
18.3,0.32,106.1,0.182,hr,Burnout
40.7,0.31,184.8,0.41,marketing,Burnout
27.6,0.28,140.3,0.46,hr,Burnout
55.9,0.78,3.0,0.834,sales,Healthy
32.2,0.74,80.1,0.303,hr,Stressed
22.0,0.17,121.4,0.147,sales,Burnout
24.0,0.16,62.4,0.263,marketing,Burnout
31.5,0.23,27.7,0.491,sales,Stressed
51.6,0.85,5.2,0.766,sales,Healthy
48.5,0.96,26.6,0.582,product,Stressed
26.3,0.5,43.7,0.188,hr,Stressed
53.6,1.17,5.4,0.872,product,Healthy
52.9,0.71,22.0,0.783,sales,Healthy
14.2,0.09,15.9,0.041,marketing,Burnout
47.9,0.71,9.1,0.943,marketing,Healthy
68.7,1.33,0,0.901,sales,Healthy
17.8,0.23,58.8,0.46,product,Burnout
29.3,0.17,64.5,0.054,engineering,Burnout
7.6,0.26,61.8,0.744,sales,Stressed
37.5,0.45,61.8,0.585,marketing,Stressed
34.5,0.95,109.3,0.509,product,Stressed
44.5,1.13,5.7,0.842,marketing,Healthy
11.6,0.29,24.5,0.411,hr,Burnout
18.9,0.21,146.0,0.326,marketing,Burnout
22.8,0.0,39.6,0.161,sales,Burnout
53.6,0.34,87.1,0.718,marketing,Stressed
17.0,0.25,95.5,0.229,hr,Burnout
25.1,0.24,139.8,0.109,sales,Burnout
21.2,0.77,42.9,0.555,engineering,Stressed
57.7,0.49,62.6,0.492,engineering,Stressed
52.6,0.16,40.2,0.554,sales,Stressed
7.0,0.06,63.2,0.446,marketing,Burnout
17.6,0.18,68.3,0.522,hr,Burnout
49.1,0.58,24.8,0.714,product,Healthy
26.3,0.71,84.6,0.531,product,Stressed
30.6,0.21,5.0,0.467,engineering,Stressed
21.1,0.16,95.5,0.287,sales,Burnout
49.8,1.32,31.0,0.709,marketing,Healthy
54.7,1.23,3.6,0.754,hr,Healthy
53.6,0.68,53.9,0.467,engineering,Stressed
13.8,0.41,46.4,0.494,sales,Stressed
49.0,1.21,12.5,0.877,hr,Healthy
25.7,0.02,64.3,0.359,product,Burnout
53.7,1.56,24.7,0.845,product,Healthy
22.6,0.08,66.0,0.087,marketing,Burnout
33.9,0.63,53.1,0.586,product,Stressed
34.3,0.15,85.3,0.288,hr,Burnout
60.2,1.76,10.7,0.899,product,Healthy
28.8,0.23,93.4,0.595,product,Stressed
16.8,0.27,78.6,0.096,marketing,Burnout
48.1,1.6,26.0,0.789,hr,Healthy
31.4,0,81.1,0.411,product,Burnout
49.6,1.54,11.7,0.769,marketing,Healthy
53.6,1.0,11.3,0.866,engineering,Healthy
56.5,1.71,2.3,0.805,marketing,Healthy
54.2,1.4,19.9,0.717,marketing,Healthy
64.1,1.7,27.3,0.764,marketing,Healthy
16.0,0.18,58.9,0.553,hr,Stressed
16.3,0.04,34.9,0.28,product,Burnout
18.5,0.3,100.6,0.294,marketing,Burnout
67.5,1.24,19.3,0.827,hr,Healthy
48.3,1.41,4.5,0.916,sales,Healthy
44.3,1.5,24.4,0.712,engineering,Healthy
20.6,0.46,48.2,0.585,marketing,Stressed
9.5,0.17,123.3,0.372,marketing,Burnout
13.8,0.51,55.9,0.434,engineering,Stressed
20.7,0.21,164.0,0.388,sales,Burnout
32.2,0.68,28.9,0.56,marketing,Stressed
48.5,0.3,28.4,0.442,marketing,Stressed
22.3,0.58,90.6,0.414,sales,Stressed
46.7,0.66,35.8,0.459,product,Stressed
43.6,1.22,0,0.782,marketing,Healthy
46.2,0.54,28.7,0.78,marketing,Stressed
44.7,1.37,21.2,0.678,hr,Healthy
22.9,0.46,75.0,0.422,hr,Stressed
25.0,0.45,125.8,0.686,marketing,Stressed
24.4,0.1,140.7,0.307,engineering,Burnout
49.8,1.0,0,0.961,sales,Healthy
26.1,0.29,14.8,0.594,sales,Stressed
32.8,0.2,43.2,0.478,product,Burnout
13.1,0.11,15.4,0.393,hr,Burnout
63.9,1.33,12.6,0.853,hr,Healthy
17.0,0.23,59.5,0.109,product,Burnout
50.4,1.46,14.9,0.853,product,Healthy
8.0,0.15,73.3,0.367,hr,Burnout
14.9,0.16,123.4,0.318,sales,Burnout
51.5,1.59,24.7,0.866,product,Healthy
58.2,0.98,0.1,0.69,marketing,Healthy
21.0,0.16,107.8,0.395,hr,Burnout
12.3,0.3,58.5,0.291,sales,Burnout
22.7,0.1,109.7,0.134,hr,Burnout
4.1,0.57,52.1,0.515,marketing,Stressed
52.5,1.37,16.2,0.862,sales,Healthy
54.3,0.93,25.7,0.816,product,Healthy
51.3,0.67,35.2,0.859,hr,Healthy
6.4,0.15,100.2,0.04,engineering,Burnout
22.3,0.45,64.6,0.637,sales,Stressed
48.7,0.33,43.5,0.892,engineering,Healthy
18.0,0.18,137.7,0.272,sales,Burnout
28.2,0.68,97.2,0.709,hr,Stressed
37.5,0.48,127.6,0.43,sales,Stressed
30.5,0.27,129.1,0.32,marketing,Burnout
7.2,0.17,67.8,0.411,hr,Burnout
15.6,0.26,98.3,0.142,product,Burnout
6.3,0.26,117.5,0.148,engineering,Burnout
29.6,0.43,68.6,0.379,sales,Stressed
48.7,1.05,18.1,0.954,hr,Healthy
50.6,0.93,22.0,0.85,hr,Healthy
55.0,1.56,20.8,0.898,sales,Healthy
17.9,0.21,56.1,0.279,hr,Burnout
47.1,0.36,78.1,0.362,product,Stressed
44.0,1.14,8.4,0.783,sales,Healthy
42.1,0.41,44.4,0.323,engineering,Stressed
22.9,0.61,91.2,0.243,hr,Stressed
51.8,1.88,28.0,0.774,product,Healthy
46.9,0.24,49.8,0.344,sales,Stressed
38.5,1.87,21.7,0.751,sales,Healthy
23.7,0.44,41.9,0.906,product,Stressed
